,GWP100,LT,RE,lip,sol,,
4828,1.9455069],0.9885554],-0.6710104],0.03424104],-4.3809857],,
3835,1.9455518],0.7154473],-0.6666782],0.12704094],-4.3662868],,
3106,1.9461007],0.7394522],-0.6613941],0.12664063],-4.3121176],,
12817,1.9461722],0.7641422],-0.64761084],0.14654596],-4.7230926],,
12655,1.9462109],0.7510128],-0.65495706],0.1465766],-4.651511],,
12142,1.9462986],0.74339193],-0.60210854],0.09720857],-4.8507423],,
298,1.9464571],0.50004655],-0.6631135],0.10381408],-3.777836],,
4612,1.9464848],0.93970263],-0.6689877],0.03425743],-4.300568],,
5044,1.9465815],1.0096767],-0.6760374],0.03441192],-4.450338],,
2566,1.9465876],0.6288574],-0.58763945],0.14899732],-4.4002056],,
8659,1.9470868],0.7396208],-0.6226772],0.09754927],-4.8511925],,
10693,1.9471796],0.82031745],-0.6489485],0.17574097],-4.3441257],,
748,1.9472919],0.5501366],-0.67161155],0.11056347],-4.184766],,
13042,1.9473343],0.71547234],-0.66189104],0.16792329],-4.5216994],,
10639,1.947504],0.7280375],-0.6018573],0.14823444],-4.6728683],,
7960,1.9477504],0.8889315],-0.6308571],0.10715468],-4.5891337],,
7714,1.9477911],0.7580603],-0.60693693],0.14983214],-4.750797],,
7330,1.9478443],0.79216737],-0.63591444],0.10670604],-4.7214217],,
10822,1.9478452],0.9841814],-0.6524128],0.03541584],-4.4592285],,
11197,1.9479355],0.76272434],-0.6497517],0.14123459],-4.616793],,
2611,1.9480176],0.6772133],-0.6083864],0.12970676],-4.471807],,
11605,1.9482453],0.9698509],-0.6880035],0.08761586],-4.5140853],,
7987,1.948264],0.9114011],-0.6413287],0.10572208],-4.4940534],,
4846,1.948333],0.8364063],-0.6573009],0.03573836],-4.531653],,
4990,1.948365],1.0340568],-0.67705405],0.03445174],-4.371202],,
4504,1.9485095],1.0518452],-0.6759747],0.03445388],-4.3583636],,
8257,1.948579],0.8984558],-0.7179718],0.10384811],-4.3373766],,
4807,1.948585],0.77506244],-0.6518193],0.15145184],-4.472327],,
6994,1.9486017],0.6915874],-0.66997087],0.15024658],-4.6931424],,
4285,1.9487692],0.68436784],-0.59865665],0.08064027],-4.5731745],,
1108,1.9487844],0.62233156],-0.6195941],0.09128417],-4.0790815],,
13081,1.9488617],0.7941843],-0.61446935],0.10047628],-4.810743],,
10147,1.9491972],0.92523587],-0.65371454],0.03579666],-4.5649137],,
7978,1.9493052],0.7657476],-0.58042175],0.10853012],-4.8286967],,
7984,1.9493179],0.749421],-0.56373817],0.0856051],-4.876553],,
3565,1.9494287],0.6854642],-0.6482911],0.15080209],-4.17992],,
5365,1.9496192],0.8173287],-0.63032055],0.12947889],-4.5484633],,
2908,1.9496691],0.67213106],-0.6259913],0.1041217],-4.59632],,
4414,1.949712],0.9293754],-0.6720153],0.03597148],-4.5896688],,
8419,1.9497777],0.9034717],-0.7195945],0.10391857],-4.3494835],,
6979,1.9499693],0.7564302],-0.68974304],0.105433],-4.503646],,
10174,1.9499698],0.95756394],-0.66437894],0.03597273],-4.4609427],,
8128,1.9503026],0.72932166],-0.67779005],0.150526],-4.6470313],,
1135,1.9503541],0.6048476],-0.64985806],0.12980916],-3.8647552],,
12361,1.9504123],0.9156902],-0.67923915],0.10279037],-4.470281],,
13033,1.9504135],0.77361864],-0.59722733],0.09223433],-4.838566],,
11098,1.9504199],0.7217374],-0.6601764],0.16109706],-4.416487],,
4420,1.9506465],0.9063142],-0.6432847],0.13994707],-4.598639],,
4477,1.9507072],1.059758],-0.6797135],0.03445216],-4.4444914],,
6103,1.9510483],0.78983355],-0.6429369],0.15171231],-4.486593],,
9418,1.9510975],0.9996698],-0.67900026],0.03489096],-4.4723105],,
10390,1.9511887],0.99426913],-0.6740274],0.03539814],-4.4256635],,
7546,1.9513214],0.7653188],-0.64559424],0.10665019],-4.488609],,
7255,1.9514853],0.7148002],-0.6590791],0.08216245],-4.8785377],,
8005,1.9515766],0.75381565],-0.59113055],0.10717668],-4.7480817],,
12577,1.9517356],0.9732467],-0.6886952],0.09744389],-4.435947],,
12334,1.9517381],0.8806092],-0.6687441],0.10422303],-4.5657277],,
9226,1.9517888],0.8391535],-0.6361089],0.13371862],-4.8165298],,
9181,1.951811],0.77116907],-0.6570165],0.15222116],-4.6013827],,
8437,1.9518516],0.7683905],-0.7023446],0.10549648],-4.4973707],,
12385,1.9519114],0.7459347],-0.6040666],0.11757912],-4.840486],,
7744,1.9519439],0.9052893],-0.6342052],0.1057377],-4.5000286],,
10477,1.9520439],0.74719393],-0.64991736],0.14823963],-4.6152167],,
9235,1.952174],0.8289118],-0.6492431],0.17517264],-4.3361387],,
10630,1.9522135],0.7943499],-0.6302064],0.12975873],-4.7125545],,
4576,1.9522908],0.94110996],-0.6670771],0.03599097],-4.5979443],,
12664,1.952382],0.71364313],-0.65999997],0.1484219],-4.6140556],,
2827,1.9524283],0.667593],-0.62176985],0.08389415],-4.5893693],,
4024,1.952453],0.6339216],-0.6244959],0.14591892],-4.3844767],,
4666,1.9524859],0.9676365],-0.6701909],0.03425749],-4.3459105],,
4123,1.9525301],0.67177147],-0.603099],0.08206446],-4.580951],,
3079,1.9525387],0.70133734],-0.6502696],0.1502647],-4.1425385],,
7795,1.9527454],0.7429713],-0.6197505],0.14979948],-4.649632],,
1480,1.9528441],0.9591305],-0.67899644],0.02862133],-4.1620326],,
11389,1.9529865],0.97472686],-0.6899062],0.09673621],-4.425631],,
7528,1.9530727],0.916404],-0.6594486],0.10537316],-4.360956],,
8065,1.9531231],0.77241427],-0.68114316],0.14819099],-4.78716],,
8311,1.9534266],0.914442],-0.71342933],0.10431714],-4.3950872],,
7363,1.9536204],0.77113557],-0.61705685],0.14954694],-4.7176423],,
9202,1.9536567],0.9927788],-0.6757448],0.03492327],-4.396368],,
8851,1.9537735],1.0319247],-0.68047756],0.03498299],-4.4355116],,
2692,1.9538673],0.66061026],-0.6821046],0.12818362],-4.4065137],,
4882,1.9539156],0.9897995],-0.6791309],0.03442658],-4.403957],,
12556,1.9540308],0.7244892],-0.66551113],0.16616066],-4.440389],,
10315,1.9540845],0.80173254],-0.65106165],0.15270294],-4.5881653],,
6232,1.9543604],0.973531],-0.66770846],0.03449537],-4.314301],,
2287,1.9544089],0.5999113],-0.662704],0.105285],-4.5068846],,
3646,1.9544588],0.69782114],-0.6634641],0.13545062],-4.12757],,
9739,1.9545294],0.7983849],-0.6438962],0.13050003],-4.657075],,
5341,1.9546139],0.97364783],-0.6711887],0.03502329],-4.3472166],,
6016,1.9547836],1.0081121],-0.6748259],0.03469421],-4.4084764],,
8878,1.9547913],1.0387305],-0.6770228],0.03498478],-4.3481073],,
6250,1.9548818],0.8471623],-0.6549333],0.03599252],-4.4341593],,
5527,1.9549696],0.8114147],-0.62372196],0.12955423],-4.5654054],,
12502,1.9550523],0.7706764],-0.6572689],0.15456285],-4.6084466],,
10981,1.9550712],0.8126569],-0.65963715],0.1400034],-4.6504126],,
3403,1.9551753],0.73130816],-0.651157],0.15072145],-4.0661654],,
6070,1.9551791],0.97567546],-0.6633686],0.0344664],-4.306582],,
10975,1.9552972],0.8391427],-0.6866967],0.08904512],-4.602822],,
8788,1.9553002],0.9086937],-0.67649055],0.03642161],-4.5772667],,
7849,1.9553018],0.80046624],-0.61012405],0.14977302],-4.774494],,
3394,1.9554828],0.7198414],-0.5895287],0.06862839],-4.574201],,
6769,1.9555032],0.7240082],-0.67242473],0.13214351],-4.845588],,
9010,1.955525],0.7903724],-0.63352156],0.1294175],-4.574303],,
9256,1.9555559],0.9866545],-0.68212664],0.03490557],-4.393048],,
8227,1.9556384],0.79693526],-0.66402054],0.11040111],-4.8471284],,
6319,1.9556918],0.8461697],-0.63700676],0.1747873],-4.336679],,
5581,1.955753],0.83922756],-0.622635],0.13336398],-4.6785693],,
9364,1.9557754],1.0225836],-0.6798544],0.0349281],-4.387466],,
8335,1.9559598],0.76977175],-0.66923493],0.1464022],-4.8094463],,
2377,1.9559683],0.6297287],-0.67450786],0.12900306],-4.4221435],,
9955,1.9559711],0.79504216],-0.5879363],0.08332409],-4.8427176],,
1837,1.9560325],0.7253228],-0.6279592],0.1121396],-4.253226],,
10468,1.9561265],0.78565586],-0.635118],0.1297216],-4.6400294],,
8986,1.9561899],0.9512855],-0.67452985],0.03497483],-4.2922883],,
9397,1.9562174],0.78985673],-0.64871377],0.17517956],-4.3922343],,
7825,1.956453],0.9356282],-0.65470374],0.10541929],-4.4074163],,
11443,1.9565734],0.94760287],-0.69245976],0.08763053],-4.4209504],,
11551,1.956619],1.0064908],-0.6836601],0.0876341],-4.429255],,
10198,1.956693],0.7968065],-0.5906676],0.10430266],-4.834368],,
6961,1.9567581],0.89378035],-0.70405966],0.10385509],-4.35609],,
2938,1.9568763],0.941028],-0.6797018],0.02915217],-4.1472716],,
2209,1.9569083],0.8294257],-0.7078186],0.09695353],-4.2473726],,
5575,1.9569179],0.8383313],-0.65107065],0.03645678],-4.588021],,
5941,1.9570501],0.82208097],-0.64869],0.151769],-4.4806876],,
11407,1.9570878],0.8117112],-0.6741351],0.09810777],-4.68199],,
6691,1.9573493],0.92149377],-0.702792],0.10354085],-4.45189],,
7798,1.9574566],0.9046739],-0.6547654],0.1062618],-4.485375],,
11137,1.9575858],0.8517923],-0.6826302],0.08910103],-4.6863995],,
8950,1.9575882],0.8981565],-0.67072034],0.03644772],-4.628614],,
12172,1.9576378],0.90465796],-0.6934144],0.10333015],-4.4652104],,
8275,1.9577384],0.75408614],-0.7044131],0.10559757],-4.4745693],,
10855,1.9577847],0.75878793],-0.6464879],0.17571689],-4.4503713],,
4798,1.957831],0.8198783],-0.6308116],0.12870272],-4.5108476],,
7708,1.9579725],0.7817311],-0.6385552],0.10654916],-4.5109496],,
12793,1.9579785],0.91656905],-0.69576126],0.10196103],-4.3272476],,
9220,1.9580499],0.8344344],-0.66152453],0.03637595],-4.643781],,
10894,1.958077],0.84038305],-0.6090007],0.03691269],-4.806167],,
7156,1.958126],0.7121348],-0.6683918],0.14950217],-4.695662],,
8794,1.9581268],0.88770837],-0.6496045],0.14040722],-4.593395],,
11902,1.9581484],0.918967],-0.6984071],0.10273428],-4.3415046],,
7339,1.9581631],0.9212557],-0.65699893],0.10522206],-4.395868],,
5359,1.9581661],0.8390775],-0.6633017],0.03649022],-4.4511185],,
7606,1.958225],0.7799337],-0.6094527],0.14773078],-4.8159337],,
12358,1.9584037],0.742967],-0.60223633],0.08223291],-4.865005],,
7087,1.9584341],0.7569851],-0.6914772],0.10488631],-4.7372475],,
10606,1.9585944],0.9410935],-0.67698115],0.03526904],-4.3214774],,
4690,1.9586673],0.83051956],-0.6351557],0.13297738],-4.548022],,
11173,1.9587018],0.92759836],-0.6917827],0.09678556],-4.310463],,
2746,1.9587092],0.71600413],-0.66999495],0.12836172],-4.5217333],,
9985,1.9587319],0.9388298],-0.68191195],0.03579684],-4.4599457],,
4069,1.9588537],0.68067837],-0.6491822],0.12697168],-4.454926],,
6520,1.9589006],0.87669396],-0.6444136],0.03610553],-4.6501803],,
10171,1.9589647],0.77695787],-0.5873203],0.0755576],-4.859629],,
7357,1.9590497],0.7795707],-0.6461223],0.1062472],-4.5615916],,
5152,1.9591267],0.9673849],-0.67754143],0.03491034],-4.369327],,
7843,1.9593885],0.8046933],-0.6399375],0.10644443],-4.5913606],,
11713,1.9594758],0.9197031],-0.6985424],0.10196508],-4.3628488],,
3907,1.9594982],0.65592957],-0.6567545],0.12632908],-4.3869405],,
6634,1.9596813],0.74080014],-0.6734478],0.14770545],-4.6788654],,
10165,1.9597402],0.79694176],-0.60473865],0.03716083],-4.8179812],,
10444,1.9600337],0.9411297],-0.6762916],0.03527905],-4.297831],,
9526,1.9600959],0.95561236],-0.68321997],0.03588076],-4.3421416],,
8740,1.9601113],0.75019985],-0.626513],0.142558],-4.858479],,
2206,1.9601425],0.61281186],-0.67311287],0.12762828],-4.372891],,
2107,1.9601436],0.72881347],-0.6366544],0.14987941],-4.124019],,
1243,1.9602588],0.6098121],-0.6681962],0.10468347],-4.0665393],,
12088,1.9602661],0.7632757],-0.6472029],0.1473896],-4.7340975],,
11704,1.9602844],0.7843423],-0.6735455],0.10385866],-4.691791],,
4582,1.9603225],0.93260807],-0.63828367],0.13996913],-4.6118617],,
1720,1.960338],0.7082056],-0.63330144],0.10943581],-4.2768054],,
514,1.9605129],0.6386981],-0.6570309],0.10419191],-3.9269328],,
9040,1.9605529],0.9741019],-0.67581725],0.03493775],-4.33355],,
12394,1.9605744],0.7640036],-0.6680571],0.16585483],-4.412964],,
12199,1.960607],0.93836164],-0.6938287],0.1024877],-4.3882875],,
8716,1.9607967],0.9089875],-0.70166945],0.10432507],-4.483814],,
5773,1.9608734],0.9519717],-0.66756713],0.03491022],-4.4925656],,
7303,1.9611533],0.7884246],-0.6504996],0.10562988],-4.462808],,
4630,1.961216],0.812969],-0.6587963],0.0357544],-4.4114146],,
11251,1.9613429],0.8011475],-0.649933],0.13834526],-4.753593],,
9715,1.961368],0.9579452],-0.68321514],0.0358292],-4.330344],,
12631,1.9614537],0.912796],-0.69653475],0.10189487],-4.3067746],,
12901,1.9614619],0.92923236],-0.69603217],0.09897377],-4.440081],,
3295,1.961487],0.68718976],-0.6097407],0.11276348],-4.385445],,
7201,1.9615741],0.7191925],-0.6523942],0.09670813],-4.8365417],,
7957,1.9616011],0.7336054],-0.61550593],0.14970608],-4.7523446],,
7336,1.9616277],0.7666662],-0.6107613],0.08609201],-4.8127284],,
5521,1.9617944],0.8412354],-0.65759015],0.03649916],-4.4646835],,
11683,1.9619913],0.7340724],-0.6606221],0.14572932],-4.5505843],,
6124,1.9620613],1.0006977],-0.6620304],0.03446652],-4.3498673],,
10369,1.9620917],0.75529855],-0.6475681],0.17564948],-4.3681655],,
11623,1.962225],0.8462299],-0.6708809],0.08910866],-4.772321],,
5611,1.9622414],0.965718],-0.6742257],0.03491123],-4.4420085],,
4774,1.9622933],0.9719797],-0.67247736],0.03424229],-4.2927604],,
12352,1.9623402],0.76054347],-0.6196565],0.10526045],-4.8154464],,
1270,1.9624078],0.6118995],-0.6648804],0.11380155],-3.953269],,
6148,1.9625075],0.86456615],-0.6226655],0.13321991],-4.5748577],,
10012,1.962645],0.9797381],-0.6811872],0.03598811],-4.3690634],,
7177,1.9627421],0.91843826],-0.69691646],0.10360087],-4.4899163],,
6427,1.9627883],0.8069915],-0.63900805],0.15173508],-4.5077586],,
12118,1.9628062],0.9093624],-0.6728252],0.10309877],-4.4767356],,
11065,1.9628637],0.99875754],-0.68754756],0.08767815],-4.3921266],,
11227,1.9628694],0.9493428],-0.69083035],0.09674837],-4.354274],,
5062,1.9629642],0.9174484],-0.6607803],0.03590466],-4.6248207],,
10714,1.9630153],0.9664439],-0.67450243],0.0354345],-4.4257455],,
4348,1.963036],0.65046054],-0.62634635],0.1424243],-4.332222],,
5143,1.9631159],0.82649523],-0.65498483],0.03637464],-4.62264],,
8068,1.9632454],0.92882144],-0.72091067],0.10347439],-4.3780236],,
7492,1.9634049],0.7969935],-0.6155965],0.10660608],-4.7570834],,
6481,1.9634829],0.7967421],-0.6344135],0.1748162],-4.397946],,
7582,1.963484],0.924195],-0.6546484],0.10584213],-4.418385],,
5122,1.9635673],0.78117394],-0.6330166],0.12938626],-4.520255],,
6340,1.9635793],0.99849385],-0.6684016],0.0346054],-4.409002],,
12169,1.9636151],0.74610496],-0.65856993],0.14699282],-4.6337123],,
9901,1.9637717],0.80488056],-0.6345644],0.13043125],-4.727024],,
4450,1.9638141],0.9723301],-0.6740608],0.0344667],-4.3190637],,
3178,1.9638262],0.6976764],-0.64230883],0.11036308],-4.3759713],,
1432,1.9639308],0.58990204],-0.61760366],0.12038799],-4.0313926],,
757,1.9640889],0.56380635],-0.6773627],0.11213036],-4.12471],,
7690,1.9641104],0.9204814],-0.6560559],0.10544349],-4.369023],,
6610,1.9642298],0.9114821],-0.7130149],0.10324116],-4.3725686],,
5557,1.9642537],0.99219817],-0.66486895],0.03498454],-4.429293],,
6448,1.9644574],1.0080945],-0.6615554],0.0345595],-4.398698],,
11359,1.9644622],0.7936351],-0.6493038],0.14109613],-4.680345],,
12595,1.9644854],0.84572154],-0.66895723],0.09894307],-4.692953],,
2659,1.9644907],0.68020934],-0.5884019],0.10127266],-4.4701695],,
7474,1.9645728],0.9332681],-0.64607996],0.10578151],-4.507582],,
6826,1.9646065],0.89248747],-0.706221],0.10420676],-4.4988775],,
5395,1.9646784],1.0000482],-0.66814196],0.03498615],-4.3883233],,
11575,1.9647337],0.8413724],-0.64280856],0.11180063],-4.825254],,
6088,1.9648781],0.83716017],-0.65295595],0.03596343],-4.4247937],,
9931,1.9649428],0.9531017],-0.65791637],0.03607942],-4.4734225],,
3667,1.9650347],0.8909682],-0.693267],0.0813017],-4.1928463],,
2884,1.9650923],0.84166914],-0.7006435],0.09787638],-4.2181616],,
9517,1.9651171],0.82103276],-0.6583316],0.03721793],-4.6912503],,
8653,1.9651489],0.743763],-0.64441216],0.10623284],-4.729238],,
10408,1.9651607],0.8674413],-0.659425],0.03688969],-4.679494],,
10900,1.9652684],0.8208524],-0.5906311],0.14082582],-4.849957],,
9172,1.965329],0.81350106],-0.63645566],0.12947245],-4.629599],,
9949,1.9653482],0.79470265],-0.612545],0.03744908],-4.731681],,
10498,1.9654732],0.9608245],-0.67272663],0.03524192],-4.3566647],,
2443,1.9655125],0.6901617],-0.6463774],0.10015835],-4.222499],,
2803,1.9656154],0.83202165],-0.6903151],0.09802206],-4.217833],,
8149,1.965692],0.9388455],-0.70743644],0.10439326],-4.4326034],,
5503,1.9657247],0.9662124],-0.6688786],0.03501679],-4.3552217],,
2098,1.965834],0.7696042],-0.6186822],0.11317714],-4.385741],,
10192,1.9658464],0.80111694],-0.6168154],0.03735991],-4.715903],,
8545,1.9658551],0.79008454],-0.69980705],0.10602213],-4.734268],,
10990,1.9658663],0.7575032],-0.66728413],0.1610445],-4.3714957],,
6526,1.9658681],0.8667298],-0.622037],0.14010246],-4.675018],,
3340,1.9658983],0.72381175],-0.63941586],0.11039205],-4.443546],,
4639,1.9659331],0.96825665],-0.67629254],0.03425516],-4.42843],,
12136,1.9660475],0.75719786],-0.6266594],0.10529961],-4.7333117],,
2503,1.9661177],0.70139086],-0.6046714],0.11244239],-4.5415425],,
12811,1.9661297],0.78698766],-0.6800742],0.103539],-4.4760356],,
919,1.9661555],0.5575727],-0.6365243],0.11358394],-4.1211534],,
2722,1.9662519],0.86040056],-0.71585184],0.09739591],-4.146029],,
11143,1.9663329],0.83776516],-0.6554158],0.14009894],-4.80234],,
12223,1.966335],0.80399626],-0.6501984],0.1470377],-4.7591004],,
12709,1.9663634],0.7907745],-0.64918506],0.1440558],-4.7868104],,
10846,1.966382],0.8148475],-0.58792436],0.13323005],-4.826013],,
2881,1.9663908],0.67644113],-0.6222567],0.06394733],-4.6127543],,
2260,1.9664003],0.6495505],-0.67282987],0.12782104],-4.5168586],,
12685,1.9664029],0.9308053],-0.6926638],0.1023639],-4.366763],,
8956,1.9664292],0.8906451],-0.6439601],0.14044036],-4.731543],,
7600,1.9664378],0.7898014],-0.638354],0.10704161],-4.6338506],,
8911,1.9664578],0.7855049],-0.6504501],0.1753018],-4.3665566],,
11920,1.9665053],0.76990986],-0.6853987],0.10448362],-4.4722066],,
12379,1.9665366],0.7567599],-0.63025975],0.10471745],-4.7221284],,
5023,1.9665697],0.8316808],-0.64433134],0.17464192],-4.3604884],,
8230,1.9666579],0.95126545],-0.7107388],0.1038446],-4.4098897],,
11737,1.9666631],0.774918],-0.6581149],0.14632483],-4.6884522],,
10624,1.9667169],0.8179468],-0.663075],0.03675146],-4.470363],,
9496,1.9669282],0.7780243],-0.64394355],0.12990125],-4.539278],,
9064,1.9669826],0.83048147],-0.63941956],0.13374509],-4.7039475],,
11038,1.967011],0.9991634],-0.68947136],0.08767553],-4.485396],,
6664,1.9670223],0.9301256],-0.70434654],0.10340221],-4.536594],,
9436,1.967207],0.8809029],-0.6630696],0.03638376],-4.7209754],,
4861,1.9673333],0.81387573],-0.64490426],0.1746412],-4.321311],,
5287,1.9673338],0.9673146],-0.67536247],0.03487791],-4.4488997],,
8092,1.9674146],0.7856939],-0.6811169],0.14798589],-4.7173743],,
8329,1.9675322],0.7780981],-0.6975045],0.10598893],-4.623321],,
8038,1.9678278],0.74796355],-0.68184394],0.14762242],-4.577308],,
802,1.9678419],0.5744567],-0.660468],0.07878853],-4.2477975],,
2425,1.9678466],0.844595],-0.66022646],0.09850325],-4.0990796],,
2695,1.9679177],0.83887386],-0.71197313],0.09803738],-4.22807],,
2854,1.9681096],0.6592006],-0.67341065],0.12845232],-4.4756136],,
649,1.9681196],0.6378372],-0.6426891],0.12905641],-3.8162591],,
9337,1.9681566],1.011615],-0.68402827],0.0349281],-4.4982867],,
973,1.9682184],0.68948394],-0.6555579],0.12945403],-3.7710404],,
11629,1.9682505],0.82946455],-0.6477162],0.13866057],-4.8726954],,
5995,1.9682691],0.78451],-0.6395353],0.17486532],-4.3615274],,
12433,1.9684536],0.828272],-0.68722403],0.09879],-4.6407914],,
11848,1.9685507],0.9188241],-0.6885926],0.10246046],-4.4703975],,
5800,1.9685582],0.9861499],-0.66822743],0.03491713],-4.4052567],,
5014,1.9685694],0.91236144],-0.6337832],0.13307233],-4.5848775],,
2134,1.9685737],0.7250629],-0.6409378],0.12620158],-4.23794],,
2773,1.9688501],0.6317296],-0.67038536],0.10592474],-4.503374],,
9733,1.9688858],0.8177781],-0.673218],0.03757854],-4.462909],,
6034,1.9689981],0.88751423],-0.6594118],0.03618576],-4.6002355],,
1621,1.96912],0.7313059],-0.64585245],0.14972706],-4.107262],,
7789,1.9691377],0.77077353],-0.6498077],0.10649593],-4.461196],,
5176,1.9692242],0.8213118],-0.63431025],0.1336468],-4.544831],,
13027,1.9692878],0.7807222],-0.6199477],0.10048003],-4.717098],,
4474,1.9693666],0.8500496],-0.633153],0.12888147],-4.534119],,
4963,1.9694777],1.0389713],-0.68126756],0.0344518],-4.472368],,
